  MatchWeek,HomeTeam,AwayTeam
1,Everton,Wolverhampton Wanderers
1,Fulham,Chelsea
1,Manchester City,Brighton & Hove Albion
1,Newcastle United,Leeds United
1,West Ham United,Nottingham Forest
1,Aston Villa,Everton
1,Brighton & Hove Albion,AFC Bournemouth
1,Chelsea,Brentford
1,Leeds United,Fulham
1,Liverpool,Burnley
1,Manchester United,Manchester City
1,Nottingham Forest,Arsenal
1,Sunderland,Crystal Palace
1,Tottenham Hotspur,West Ham United
1,Wolverhampton Wanderers,Newcastle United
1,AFC Bournemouth,Liverpool
1,Arsenal,Manchester United
1,Brentford,Nottingham Forest
1,Burnley,Tottenham Hotspur
1,Crystal Palace,Chelsea
1,Everton,Leeds United
1,Fulham,Brighton & Hove Albion
1,Manchester City,Wolverhampton Wanderers
1,Newcastle United,Aston Villa
1,West Ham United,Sunderland
1,Aston Villa,Brentford
1,Brighton & Hove Albion,Everton
1,Chelsea,West Ham United
1,Leeds United,Arsenal
1,Liverpool,Newcastle United
1,Manchester United,Fulham
1,Nottingham Forest,Crystal Palace
1,Sunderland,Burnley
1,Tottenham Hotspur,Manchester City
1,Wolverhampton Wanderers,AFC Bournemouth
1,AFC Bournemouth,Aston Villa
1,Arsenal,Sunderland
1,Brighton & Hove Albion,Crystal Palace
1,Burnley,West Ham United
1,Fulham,Everton
1,Leeds United,Nottingham Forest
1,Liverpool,Manchester City
1,Manchester United,Tottenham Hotspur
1,Newcastle United,Brentford
1,Wolverhampton Wanderers,Chelsea
1,Aston Villa,Brighton & Hove Albion
1,Brentford,Arsenal
1,Chelsea,Leeds United
1,Crystal Palace,Burnley
1,Everton,AFC Bournemouth
1,Manchester City,Fulham
1,Nottingham Forest,Wolverhampton Wanderers
1,Sunderland,Liverpool
1,Tottenham Hotspur,Newcastle United
1,West Ham United,Manchester United
1,Aston Villa,Leeds United
1,Brentford,Brighton & Hove Albion
1,Chelsea,Burnley
1,Crystal Palace,Wolverhampton Wanderers
1,Everton,Manchester United
1,Manchester City,Newcastle United
1,Nottingham Forest,Liverpool
1,Sunderland,Fulham
1,Tottenham Hotspur,Arsenal
1,West Ham United,AFC Bournemouth
1,AFC Bournemouth,Sunderland
1,Arsenal,Chelsea
1,Brighton & Hove Albion,Nottingham Forest
1,Burnley,Brentford
1,Fulham,Tottenham Hotspur
1,Leeds United,Manchester City
1,Liverpool,West Ham United
1,Manchester United,Crystal Palace
1,Newcastle United,Everton
1,Wolverhampton Wanderers,Aston Villa
1,AFC Bournemouth,Brentford
1,Aston Villa,Chelsea
1,Brighton & Hove Albion,Arsenal
1,Everton,Burnley
1,Fulham,West Ham United
1,Leeds United,Sunderland
1,Manchester City,Nottingham Forest
1,Newcastle United,Manchester United
1,Tottenham Hotspur,Crystal Palace
1,Wolverhampton Wanderers,Liverpool
1,Arsenal,Everton
1,Brentford,Wolverhampton Wanderers
1,Burnley,AFC Bournemouth
1,Chelsea,Newcastle United
1,Crystal Palace,Leeds United
1,Liverpool,Tottenham Hotspur
1,Manchester United,Aston Villa
1,Nottingham Forest,Fulham
1,Sunderland,Brighton & Hove Albion
1,West Ham United,Manchester City
1,AFC Bournemouth,Manchester United
1,Aston Villa,West Ham United
1,Brighton & Hove Albion,Liverpool
1,Everton,Chelsea
1,Fulham,Burnley
1,Leeds United,Brentford
1,Manchester City,Crystal Palace
1,Newcastle United,Sunderland
1,Tottenham Hotspur,Nottingham Forest
1,Wolverhampton Wanderers,Arsenal
1,Arsenal,AFC Bournemouth
1,Brentford,Everton
1,Burnley,Brighton & Hove Albion
1,Chelsea,Manchester City
1,Crystal Palace,Newcastle United
1,Liverpool,Fulham
1,Manchester United,Leeds United
1,Nottingham Forest,Aston Villa
1,Sunderland,Tottenham Hotspur
1,West Ham United,Wolverhampton Wanderers
1,Aston Villa,Sunderland
1,Brentford,Fulham
1,Chelsea,Manchester United
1,Crystal Palace,West Ham United
1,Everton,Liverpool
1,Leeds United,Wolverhampton Wanderers
1,Manchester City,Arsenal
1,Newcastle United,AFC Bournemouth
1,Nottingham Forest,Burnley
1,Tottenham Hotspur,Brighton & Hove Albion
1,AFC Bournemouth,Leeds United
1,Arsenal,Newcastle United
1,Brighton & Hove Albion,Chelsea
1,Burnley,Manchester City
1,Fulham,Aston Villa
1,Liverpool,Crystal Palace
1,Manchester United,Brentford
1,Sunderland,Nottingham Forest
1,West Ham United,Everton
1,Wolverhampton Wanderers,Tottenham Hotspur
1,AFC Bournemouth,Crystal Palace
1,Arsenal,Fulham
1,Aston Villa,Tottenham Hotspur
1,Brentford,West Ham United
1,Chelsea,Nottingham Forest
1,Everton,Manchester City
1,Leeds United,Burnley
1,Manchester United,Liverpool
1,Newcastle United,Brighton & Hove Albion
1,Wolverhampton Wanderers,Sunderland
1,Brighton & Hove Albion,Wolverhampton Wanderers
1,Burnley,Aston Villa
1,Crystal Palace,Everton
1,Fulham,AFC Bournemouth
1,Liverpool,Chelsea
1,Manchester City,Brentford
1,Nottingham Forest,Newcastle United
1,Sunderland,Manchester United
1,Tottenham Hotspur,Leeds United
1,West Ham United,Arsenal
1,AFC Bournemouth,Manchester City
1,Arsenal,Burnley
1,Aston Villa,Liverpool
1,Brentford,Crystal Palace
1,Chelsea,Tottenham Hotspur
1,Everton,Sunderland
1,Leeds United,Brighton & Hove Albion
1,Manchester United,Nottingham Forest
1,Newcastle United,West Ham United
1,Wolverhampton Wanderers,Fulham
1,Brighton & Hove Albion,Manchester United
1,Burnley,Wolverhampton Wanderers
1,Crystal Palace,Arsenal
1,Fulham,Newcastle United
1,Liverpool,Brentford
1,Manchester City,Aston Villa
1,Nottingham Forest,AFC Bournemouth
1,Sunderland,Chelsea
1,Tottenham Hotspur,Everton
1,West Ham United,Leeds United
